"Attach Document Print","Lampirkan Cetakan Dokumen"
"AI & Knowledge Base","AI & Pusat Pengetahuan"
"Avg Response Time (s)","Rata-rata Waktu Respon (d)"
"Bulk WhatsApp Message","Pesan WhatsApp Massal"
"Campaign Name","Nama Kampanye"
"Check Status","Periksa Status"
"Call to Action","Panggilan Aksi (CTA)"
"Default Incoming Account","Akun Masuk Default"
"Default Outgoing Account","Akun Keluar Default"
"Fetch Flows","Ambil Flow"
"Flow Name","Nama Flow"
"Incoming","Masuk"
"Outgoing","Keluar"
"Message Template","Template Pesan"
"Messages Failed","Pesan Gagal"
"Messages Received","Pesan Diterima"
"Messages Sent","Pesan Terkirim"
"Recipient List","Daftar Penerima"
"Send Test","Kirim Uji Coba"
"Sessions Started","Sesi Dimulai"
"Status","Status"
"Sync from Meta","Sinkronisasi dari Meta"
"WhatsApp Account","Akun WhatsApp"
"WhatsApp Campaign","Kampanye WhatsApp"
"WhatsApp Flow","Flow WhatsApp"
"WhatsApp Template","Template WhatsApp"
"WhatsApp Settings","Pengaturan WhatsApp"
"WhatsApp Notification","Notifikasi WhatsApp"
"WhatsApp Profiles","Profil WhatsApp"
"WhatsApp Analytics","Analitik WhatsApp"
"Sync Complete","Sinkronisasi Selesai"
"Pending","Tertunda"
"Success Message","Pesan Berhasil"
